"Age";"Status";"Studies";"YearsOfExperience";Length;Level;Distance_from_Center;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;2;3;1;2;1;false;2702;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;5;0;1;5;1;false;9882;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;5;0;1;5;1;false;12804;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;9;4;1;9;1;false;18118;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;4;1;1;4;1;false;5062;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;9;4;1;9;1;false;17429;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;7;2;1;7;1;false;9093;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;5;0;1;5;1;false;5585;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;8;3;1;8;1;false;7805;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;7;2;1;7;1;false;8626;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;5;0;1;5;1;false;4827;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;8;3;1;8;1;false;8922;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;5;0;1;5;1;false;16833;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;1;4;1;1;1;true;2075;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;3;2;1;3;1;false;13901;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;5;0;1;5;1;false;11796;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;9;4;1;9;1;false;17160;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;1;4;1;1;1;true;954;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;4;1;1;4;1;false;3770;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;9;4;1;9;1;false;8761;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;6;1;1;6;1;false;6163;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;4;1;1;4;1;false;4063;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;2;3;1;2;1;false;2354;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;9;4;1;9;1;false;6993;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;2;3;1;2;1;false;3461;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;9;4;1;9;1;false;4633;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;6;1;1;6;1;false;7622;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;8;3;1;8;1;false;7687;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;3;2;1;3;1;false;1218;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;3;2;1;3;1;false;6409;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;1;4;1;1;1;true;1734;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;3;2;1;3;1;false;3753;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;7;2;1;7;1;false;8086;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;3;2;1;3;1;false;4255;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;9;4;1;9;1;false;6727;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;9;4;1;9;1;false;17913;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;7;2;1;7;1;false;8776;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;2;3;1;2;1;false;5001;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;1;4;1;1;1;true;1199;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;4;1;1;4;1;false;15590;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;2;3;1;2;1;false;7144;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;7;2;1;7;1;false;9945;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;1;4;1;1;1;true;818;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;5;0;1;5;1;false;7629;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;4;1;1;4;1;false;3742;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;6;1;1;6;1;false;6622;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;8;3;1;8;1;false;10065;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;6;1;1;6;1;false;12720;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;2;3;1;2;1;false;2405;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;2;3;1;2;1;false;3278;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;2;3;1;2;1;false;2249;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;7;2;1;7;1;false;7600;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;5;0;1;5;1;false;7959;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;4;1;1;4;1;false;4818;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;2;3;1;2;1;false;2556;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;6;1;1;6;1;false;6158;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;7;2;1;7;1;false;8076;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;8;3;1;8;1;false;14954;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;4;1;1;4;1;false;5636;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;6;1;1;6;1;false;13903;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;6;1;1;6;1;false;9449;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;5;0;1;5;1;false;13685;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;1;4;1;1;1;true;1249;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;3;2;1;3;1;false;2773;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;7;2;1;7;1;false;3615;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;7;2;1;7;1;false;10442;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;6;1;1;6;1;false;6956;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;3;2;1;3;1;false;5358;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;1;4;1;1;1;true;837;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;7;2;1;7;1;false;6575;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;5;0;1;5;1;false;3838;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;7;2;1;7;1;false;6568;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;2;3;1;2;1;false;3623;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;6;1;1;6;1;false;10379;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;9;4;1;9;1;false;11555;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;6;1;1;6;1;false;13542;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;8;3;1;8;1;false;8996;
