"Age";"Status";"Studies";"YearsOfExperience";Length;Level;Distance_from_Center;Schmutz;Schmutz_Group;Schmutz_Above;Schmutz_Below;Marked_Word_Length;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"undefined";"undefined";"undefined";"undefined";6;5;0;1;2_0-5;1;0;3;1;8;1;false;417;
"undefined";"undefined";"undefined";"undefined";8;6;1;3;2_0-5;2;1;6;1;4;1;false;385;
"undefined";"undefined";"undefined";"undefined";10;2;3;0;1_none;0;0;4;1;2;1;false;385;
"undefined";"undefined";"undefined";"undefined";10;3;2;0;1_none;0;0;4;1;3;1;false;391;
"undefined";"undefined";"undefined";"undefined";10;1;4;0;1_none;0;0;5;1;6;1;false;326;
"undefined";"undefined";"undefined";"undefined";8;6;1;1;2_0-5;0;1;6;1;9;1;false;319;
"undefined";"undefined";"undefined";"undefined";14;5;0;0;1_none;0;0;4;1;10;1;false;326;
"undefined";"undefined";"undefined";"undefined";14;7;2;0;1_none;0;0;5;1;1;1;true;360;
"undefined";"undefined";"undefined";"undefined";8;1;4;1;2_0-5;0;1;6;1;1;1;true;382;
"undefined";"undefined";"undefined";"undefined";14;2;3;0;1_none;0;0;2;1;6;1;false;402;
"undefined";"undefined";"undefined";"undefined";8;7;2;0;1_none;0;0;5;1;9;1;false;362;
"undefined";"undefined";"undefined";"undefined";8;3;2;0;1_none;0;0;2;1;2;1;false;347;
"undefined";"undefined";"undefined";"undefined";18;3;2;0;1_none;0;0;4;1;9;1;false;353;
"undefined";"undefined";"undefined";"undefined";20;8;3;0;1_none;0;0;4;1;3;1;false;416;
"undefined";"undefined";"undefined";"undefined";10;3;2;1;2_0-5;1;0;6;1;5;1;false;353;
"undefined";"undefined";"undefined";"undefined";14;4;1;0;1_none;0;0;5;1;10;1;false;352;
"undefined";"undefined";"undefined";"undefined";14;4;1;0;1_none;0;0;4;1;5;1;false;337;
"undefined";"undefined";"undefined";"undefined";6;7;2;5;2_0-5;4;1;4;1;3;1;false;389;
"undefined";"undefined";"undefined";"undefined";18;1;4;0;1_none;0;0;6;1;9;1;false;372;
"undefined";"undefined";"undefined";"undefined";6;3;2;3;2_0-5;0;3;6;1;9;1;false;400;
"undefined";"undefined";"undefined";"undefined";20;3;2;0;1_none;0;0;11;1;2;1;false;382;
"undefined";"undefined";"undefined";"undefined";14;1;4;0;1_none;0;0;5;1;6;1;false;343;
"undefined";"undefined";"undefined";"undefined";8;8;3;0;1_none;0;0;4;1;2;1;false;369;
"undefined";"undefined";"undefined";"undefined";18;1;4;0;1_none;0;0;3;1;10;1;false;381;
"undefined";"undefined";"undefined";"undefined";8;4;1;0;1_none;0;0;4;1;10;1;false;385;
"undefined";"undefined";"undefined";"undefined";14;5;0;0;1_none;0;0;3;1;5;1;false;345;
"undefined";"undefined";"undefined";"undefined";18;3;2;0;1_none;0;0;3;1;3;1;false;307;
"undefined";"undefined";"undefined";"undefined";18;6;1;0;1_none;0;0;7;1;4;1;false;378;
"undefined";"undefined";"undefined";"undefined";14;4;1;0;1_none;0;0;5;1;8;1;false;354;
"undefined";"undefined";"undefined";"undefined";20;8;3;0;1_none;0;0;6;1;2;1;false;369;
"undefined";"undefined";"undefined";"undefined";20;3;2;0;1_none;0;0;5;1;4;1;false;330;
"undefined";"undefined";"undefined";"undefined";8;8;3;0;1_none;0;0;5;1;8;1;false;342;
"undefined";"undefined";"undefined";"undefined";18;4;1;0;1_none;0;0;6;1;8;1;false;334;
"undefined";"undefined";"undefined";"undefined";20;3;2;0;1_none;0;0;2;1;3;1;false;358;
"undefined";"undefined";"undefined";"undefined";8;4;1;0;1_none;0;0;5;1;1;1;true;378;
"undefined";"undefined";"undefined";"undefined";8;7;2;0;1_none;0;0;4;1;5;1;false;321;
"undefined";"undefined";"undefined";"undefined";10;5;0;4;2_0-5;1;3;10;1;10;1;false;337;
"undefined";"undefined";"undefined";"undefined";8;5;0;0;1_none;0;0;5;1;6;1;false;329;
"undefined";"undefined";"undefined";"undefined";18;3;2;0;1_none;0;0;3;1;4;1;false;334;
"undefined";"undefined";"undefined";"undefined";20;6;1;0;1_none;0;0;4;1;7;1;false;357;
"undefined";"undefined";"undefined";"undefined";6;3;2;12;4_10-15;5;7;10;1;1;1;true;471;
"undefined";"undefined";"undefined";"undefined";6;9;4;0;1_none;0;0;7;1;5;1;false;454;
"undefined";"undefined";"undefined";"undefined";8;6;1;1;2_0-5;0;1;6;1;5;1;false;386;
"undefined";"undefined";"undefined";"undefined";20;9;4;0;1_none;0;0;4;1;1;1;true;334;
"undefined";"undefined";"undefined";"undefined";14;5;0;0;1_none;0;0;7;1;3;1;false;379;
"undefined";"undefined";"undefined";"undefined";18;2;3;0;1_none;0;0;5;1;7;1;false;383;
"undefined";"undefined";"undefined";"undefined";20;9;4;0;1_none;0;0;5;1;5;1;false;375;
"undefined";"undefined";"undefined";"undefined";8;1;4;2;2_0-5;0;2;7;1;10;1;false;337;
"undefined";"undefined";"undefined";"undefined";14;7;2;0;1_none;0;0;4;1;4;1;false;347;
"undefined";"undefined";"undefined";"undefined";20;7;2;0;1_none;0;0;6;1;7;1;false;392;
"undefined";"undefined";"undefined";"undefined";14;1;4;1;2_0-5;0;1;12;1;1;1;true;444;
"undefined";"undefined";"undefined";"undefined";20;6;1;0;1_none;0;0;7;1;10;1;false;392;
"undefined";"undefined";"undefined";"undefined";6;9;4;3;2_0-5;3;0;6;1;9;1;false;360;
"undefined";"undefined";"undefined";"undefined";8;2;3;3;2_0-5;2;1;6;1;10;1;false;300;
"undefined";"undefined";"undefined";"undefined";14;5;0;0;1_none;0;0;7;1;6;1;false;375;
"undefined";"undefined";"undefined";"undefined";10;2;3;1;2_0-5;0;1;8;1;10;1;false;426;
"undefined";"undefined";"undefined";"undefined";14;9;4;0;1_none;0;0;7;1;3;1;false;352;
"undefined";"undefined";"undefined";"undefined";14;5;0;0;1_none;0;0;9;1;2;1;false;312;
"undefined";"undefined";"undefined";"undefined";20;3;2;0;1_none;0;0;4;1;5;1;false;333;
"undefined";"undefined";"undefined";"undefined";8;6;1;0;1_none;0;0;4;1;1;1;true;323;
"undefined";"undefined";"undefined";"undefined";14;6;1;0;1_none;0;0;4;1;3;1;false;328;
"undefined";"undefined";"undefined";"undefined";20;2;3;0;1_none;0;0;3;1;4;1;false;371;
"undefined";"undefined";"undefined";"undefined";8;9;4;0;1_none;0;0;7;1;2;1;false;339;
"undefined";"undefined";"undefined";"undefined";14;6;1;0;1_none;0;0;10;1;9;1;false;368;
"undefined";"undefined";"undefined";"undefined";14;7;2;0;1_none;0;0;6;1;1;1;true;374;
"undefined";"undefined";"undefined";"undefined";20;4;1;0;1_none;0;0;6;1;7;1;false;365;
"undefined";"undefined";"undefined";"undefined";6;5;0;5;2_0-5;4;1;4;1;9;1;false;522;
"undefined";"undefined";"undefined";"undefined";6;4;1;2;2_0-5;0;2;5;1;9;1;false;638;
"undefined";"undefined";"undefined";"undefined";20;4;1;0;1_none;0;0;5;1;10;1;false;363;
"undefined";"undefined";"undefined";"undefined";14;1;4;0;1_none;0;0;4;1;9;1;false;345;
"undefined";"undefined";"undefined";"undefined";8;7;2;4;2_0-5;4;0;4;1;2;1;false;440;
"undefined";"undefined";"undefined";"undefined";20;5;0;0;1_none;0;0;9;1;6;1;false;378;
"undefined";"undefined";"undefined";"undefined";8;7;2;2;2_0-5;1;1;6;1;8;1;false;444;
"undefined";"undefined";"undefined";"undefined";8;1;4;0;1_none;0;0;4;1;6;1;false;427;
"undefined";"undefined";"undefined";"undefined";14;6;1;0;1_none;0;0;9;1;4;1;false;387;
"undefined";"undefined";"undefined";"undefined";14;3;2;0;1_none;0;0;7;1;6;1;false;382;
"undefined";"undefined";"undefined";"undefined";8;7;2;4;2_0-5;0;4;9;1;4;1;false;393;
"undefined";"undefined";"undefined";"undefined";6;5;0;11;4_10-15;5;6;9;1;5;1;false;453;
"undefined";"undefined";"undefined";"undefined";10;7;2;0;1_none;0;0;7;1;9;1;false;399;
"undefined";"undefined";"undefined";"undefined";10;9;4;0;1_none;0;0;5;1;4;1;false;365;
"undefined";"undefined";"undefined";"undefined";14;7;2;0;1_none;0;0;4;1;1;1;true;382;
"undefined";"undefined";"undefined";"undefined";14;7;2;0;1_none;0;0;4;1;3;1;false;357;
"undefined";"undefined";"undefined";"undefined";20;1;4;0;1_none;0;0;5;1;6;1;false;352;
"undefined";"undefined";"undefined";"undefined";20;9;4;0;1_none;0;0;8;1;4;1;false;326;
"undefined";"undefined";"undefined";"undefined";18;2;3;0;1_none;0;0;6;1;8;1;false;355;
"undefined";"undefined";"undefined";"undefined";20;2;3;0;1_none;0;0;4;1;9;1;false;381;
"undefined";"undefined";"undefined";"undefined";14;8;3;0;1_none;0;0;3;1;3;1;false;355;
"undefined";"undefined";"undefined";"undefined";18;8;3;0;1_none;0;0;6;1;6;1;false;328;
"undefined";"undefined";"undefined";"undefined";10;4;1;1;2_0-5;1;0;4;1;6;1;false;401;
"undefined";"undefined";"undefined";"undefined";14;5;0;0;1_none;0;0;5;1;1;1;true;339;
"undefined";"undefined";"undefined";"undefined";14;6;1;0;1_none;0;0;4;1;5;1;false;323;
"undefined";"undefined";"undefined";"undefined";6;3;2;6;3_5-10;2;4;7;1;3;1;false;659;
"undefined";"undefined";"undefined";"undefined";14;9;4;0;1_none;0;0;7;1;9;1;false;355;
"undefined";"undefined";"undefined";"undefined";14;6;1;0;1_none;0;0;4;1;2;1;false;357;
"undefined";"undefined";"undefined";"undefined";20;3;2;0;1_none;0;0;8;1;8;1;false;353;
"undefined";"undefined";"undefined";"undefined";8;9;4;1;2_0-5;1;0;4;1;2;1;false;341;
"undefined";"undefined";"undefined";"undefined";8;3;2;4;2_0-5;4;0;5;1;8;1;false;583;
"undefined";"undefined";"undefined";"undefined";20;8;3;0;1_none;0;0;6;1;2;1;false;452;
"undefined";"undefined";"undefined";"undefined";20;5;0;0;1_none;0;0;4;1;5;1;false;348;
"undefined";"undefined";"undefined";"undefined";20;6;1;0;1_none;0;0;3;1;7;1;false;380;
"undefined";"undefined";"undefined";"undefined";20;2;3;0;1_none;0;0;4;1;9;1;false;418;
"undefined";"undefined";"undefined";"undefined";20;6;1;0;1_none;0;0;4;1;7;1;false;346;
"undefined";"undefined";"undefined";"undefined";14;1;4;0;1_none;0;0;5;1;7;1;false;393;
"undefined";"undefined";"undefined";"undefined";6;9;4;0;1_none;0;0;3;1;10;1;false;399;
"undefined";"undefined";"undefined";"undefined";14;2;3;0;1_none;0;0;5;1;6;1;false;443;
"undefined";"undefined";"undefined";"undefined";14;5;0;0;1_none;0;0;3;1;2;1;false;385;
"undefined";"undefined";"undefined";"undefined";18;8;3;0;1_none;0;0;4;1;10;1;false;369;
"undefined";"undefined";"undefined";"undefined";6;6;1;8;3_5-10;5;3;6;1;1;1;true;455;
"undefined";"undefined";"undefined";"undefined";18;9;4;0;1_none;0;0;5;1;10;1;false;361;
"undefined";"undefined";"undefined";"undefined";14;1;4;0;1_none;0;0;5;1;2;1;false;350;
"undefined";"undefined";"undefined";"undefined";18;9;4;0;1_none;0;0;5;1;7;1;false;361;
"undefined";"undefined";"undefined";"undefined";10;5;0;2;2_0-5;2;0;4;1;2;1;false;377;
"undefined";"undefined";"undefined";"undefined";10;6;1;0;1_none;0;0;4;1;1;1;true;392;
"undefined";"undefined";"undefined";"undefined";10;7;2;2;2_0-5;1;1;8;1;10;1;false;358;
"undefined";"undefined";"undefined";"undefined";18;7;2;0;1_none;0;0;8;1;10;1;false;382;
"undefined";"undefined";"undefined";"undefined";6;1;4;1;2_0-5;0;1;4;1;2;1;false;567;
"undefined";"undefined";"undefined";"undefined";18;2;3;0;1_none;0;0;4;1;10;1;false;421;
"undefined";"undefined";"undefined";"undefined";14;4;1;0;1_none;0;0;3;1;9;1;false;383;
"undefined";"undefined";"undefined";"undefined";14;9;4;0;1_none;0;0;5;1;10;1;false;368;
"undefined";"undefined";"undefined";"undefined";6;9;4;4;2_0-5;4;0;8;1;7;1;false;369;
"undefined";"undefined";"undefined";"undefined";14;6;1;0;1_none;0;0;5;1;4;1;false;367;
"undefined";"undefined";"undefined";"undefined";10;3;2;0;1_none;0;0;4;1;3;1;false;385;
"undefined";"undefined";"undefined";"undefined";20;5;0;0;1_none;0;0;8;1;5;1;false;338;
"undefined";"undefined";"undefined";"undefined";10;3;2;0;1_none;0;0;4;1;10;1;false;350;
"undefined";"undefined";"undefined";"undefined";14;2;3;0;1_none;0;0;9;1;5;1;false;401;
"undefined";"undefined";"undefined";"undefined";8;2;3;0;1_none;0;0;5;1;6;1;false;419;
"undefined";"undefined";"undefined";"undefined";6;1;4;1;2_0-5;0;1;4;1;9;1;false;481;
"undefined";"undefined";"undefined";"undefined";8;5;0;0;1_none;0;0;4;1;5;1;false;422;
"undefined";"undefined";"undefined";"undefined";14;1;4;0;1_none;0;0;6;1;1;1;true;394;
"undefined";"undefined";"undefined";"undefined";14;3;2;0;1_none;0;0;4;1;7;1;false;391;
"undefined";"undefined";"undefined";"undefined";20;8;3;0;1_none;0;0;5;1;7;1;false;389;
"undefined";"undefined";"undefined";"undefined";6;6;1;11;4_10-15;5;6;9;1;5;1;false;525;
"undefined";"undefined";"undefined";"undefined";8;6;1;0;1_none;0;0;5;1;6;1;false;406;
"undefined";"undefined";"undefined";"undefined";14;2;3;0;1_none;0;0;4;1;3;1;false;404;
"undefined";"undefined";"undefined";"undefined";18;6;1;0;1_none;0;0;7;1;1;1;true;403;
"undefined";"undefined";"undefined";"undefined";8;2;3;0;1_none;0;0;4;1;6;1;false;499;
"undefined";"undefined";"undefined";"undefined";6;8;3;5;2_0-5;4;1;4;1;3;1;false;450;
"undefined";"undefined";"undefined";"undefined";14;8;3;0;1_none;0;0;9;1;9;1;false;361;
"undefined";"undefined";"undefined";"undefined";6;9;4;2;2_0-5;2;0;6;1;1;1;true;428;
"undefined";"undefined";"undefined";"undefined";20;4;1;0;1_none;0;0;3;1;1;1;true;445;
"undefined";"undefined";"undefined";"undefined";18;7;2;0;1_none;0;0;4;1;2;1;false;372;
"undefined";"undefined";"undefined";"undefined";14;6;1;0;1_none;0;0;6;1;4;1;false;354;
"undefined";"undefined";"undefined";"undefined";6;5;0;3;2_0-5;1;2;5;1;4;1;false;544;
"undefined";"undefined";"undefined";"undefined";14;8;3;0;1_none;0;0;2;1;10;1;false;379;
"undefined";"undefined";"undefined";"undefined";14;7;2;0;1_none;0;0;3;1;1;1;true;368;
"undefined";"undefined";"undefined";"undefined";8;7;2;0;1_none;0;0;4;1;6;1;false;353;
"undefined";"undefined";"undefined";"undefined";8;8;3;3;2_0-5;0;3;8;1;2;1;false;379;
"undefined";"undefined";"undefined";"undefined";18;4;1;0;1_none;0;0;9;1;6;1;false;359;
"undefined";"undefined";"undefined";"undefined";10;4;1;0;1_none;0;0;3;1;10;1;false;362;
"undefined";"undefined";"undefined";"undefined";8;5;0;0;1_none;0;0;3;1;8;1;false;394;
"undefined";"undefined";"undefined";"undefined";6;8;3;3;2_0-5;1;2;5;1;10;1;false;425;
"undefined";"undefined";"undefined";"undefined";18;6;1;0;1_none;0;0;5;1;2;1;false;406;
"undefined";"undefined";"undefined";"undefined";20;2;3;0;1_none;0;0;7;1;5;1;false;406;
"undefined";"undefined";"undefined";"undefined";18;3;2;0;1_none;0;0;5;1;4;1;false;364;
"undefined";"undefined";"undefined";"undefined";10;4;1;0;1_none;0;0;5;1;7;1;false;379;
