"Age";"Status";"Studies";"YearsOfExperience";Length;Level;Distance_from_Center;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"less than or equal 1 year";8;5;2;1;6;1;false;445;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"less than or equal 1 year";4;4;1;1;3;1;false;494;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"less than or equal 1 year";8;3;0;1;4;1;false;417;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"less than or equal 1 year";2;5;2;1;5;1;false;547;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"less than or equal 1 year";2;4;1;1;2;1;false;449;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"less than or equal 1 year";8;4;1;1;6;1;false;460;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"less than or equal 1 year";6;5;2;1;2;1;false;454;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"less than or equal 1 year";8;5;2;1;3;1;false;523;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"less than or equal 1 year";4;5;2;1;1;1;true;494;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"less than or equal 1 year";6;2;1;1;3;1;false;421;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"less than or equal 1 year";8;1;2;1;1;1;true;418;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"less than or equal 1 year";2;3;0;1;2;1;false;495;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"less than or equal 1 year";6;5;2;1;1;1;true;423;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"less than or equal 1 year";4;4;1;1;2;1;false;446;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"less than or equal 1 year";8;3;0;1;2;1;false;443;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"less than or equal 1 year";8;1;2;1;3;1;false;384;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"less than or equal 1 year";8;2;1;1;5;1;false;350;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"less than or equal 1 year";2;4;1;1;1;1;true;561;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"less than or equal 1 year";8;2;1;1;2;1;false;445;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"less than or equal 1 year";2;1;2;1;5;1;false;535;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"less than or equal 1 year";6;3;0;1;2;1;false;718;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"less than or equal 1 year";4;5;2;1;5;1;false;462;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"less than or equal 1 year";2;5;2;1;6;1;false;599;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"less than or equal 1 year";6;3;0;1;4;1;false;485;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"less than or equal 1 year";6;2;1;1;4;1;false;565;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"less than or equal 1 year";4;4;1;1;4;1;false;813;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"less than or equal 1 year";8;2;1;1;1;1;true;405;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"less than or equal 1 year";2;2;1;1;3;1;false;494;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"less than or equal 1 year";6;1;2;1;4;1;false;397;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"less than or equal 1 year";2;2;1;1;1;1;true;598;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"less than or equal 1 year";6;4;1;1;4;1;false;470;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"less than or equal 1 year";2;3;0;1;2;1;false;677;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"less than or equal 1 year";8;5;2;1;6;1;false;447;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"less than or equal 1 year";4;1;2;1;5;1;false;502;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"less than or equal 1 year";6;4;1;1;3;1;false;442;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"less than or equal 1 year";2;2;1;1;1;1;true;501;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"less than or equal 1 year";8;2;1;1;5;1;false;509;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"less than or equal 1 year";4;2;1;1;5;1;false;484;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"less than or equal 1 year";4;2;1;1;5;1;false;609;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"less than or equal 1 year";8;2;1;1;6;1;false;470;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"less than or equal 1 year";8;4;1;1;5;1;false;487;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"less than or equal 1 year";8;1;2;1;5;1;false;429;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"less than or equal 1 year";4;1;2;1;2;1;false;447;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"less than or equal 1 year";4;3;0;1;4;1;false;513;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"less than or equal 1 year";6;1;2;1;4;1;false;457;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"less than or equal 1 year";6;3;0;1;6;1;false;428;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"less than or equal 1 year";8;1;2;1;3;1;false;519;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"less than or equal 1 year";2;5;2;1;4;1;false;892;
